Λ_TeV,sin2_MZ,RG_ok,λ_min,SPD_ok
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.2335,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.23375000000000004,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.234,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23424999999999999,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23450000000000001,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23475000000000004,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23500000000000001,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
3.0,0.23525,False,17030569.224247634,True
